channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
T-Series
    ","253,000,000",Music,"237,734,291,272","19,805",2006,1
"
SET India
    ","165,000,000",Shows,"153,837,872,254","121,482",2006,2
"
Sony SAB
    ","86,900,000",Shows,"106,649,063,900","75,541",2007,3
"
Colors TV
    ","68,300,000",Shows,"65,683,570,375","122,429",2008,4
"
Zee Music Company
    ","102,000,000",Music,"61,744,999,153","9,440",2014,5
"
ChuChu TV Nursery Rhymes & Kids Songs
    ","68,700,000",Education,"48,153,194,126",721,2013,6
"
Wave Music
    ","59,600,000",Music,"41,390,564,677","19,732",2014,7
"
YRF
    ","57,000,000",Film & Animation,"37,679,190,442","3,860",2006,8
"
Tips Official
    ","62,100,000",Music,"35,416,677,053","5,118",2007,9
"
Vijay Television
    ","21,900,000",Entertainment,"33,508,518,854","58,371",2007,10
"
Infobells - Hindi
    ","57,000,000",Education,"32,908,610,979",611,2014,11
"
T-Series Bhakti Sagar
    ","64,300,000",Music,"31,562,225,888","26,738",2011,12
"
Sony Music India
    ","58,500,000",Music,"29,987,391,080","4,153",2009,13
"
Speed Records
    ","43,000,000",Music,"27,528,228,529","11,108",2012,14
"
Aaj Tak
    ","59,800,000",News & Politics,"27,141,741,604","313,742",2009,15
"
Aditya Music India
    ","29,300,000",Music,"27,073,595,057","22,084",2008,16
"
KL BRO Biju Rithvik
    ","34,500,000",Entertainment,"26,538,071,218","2,098",2020,17
"
Goldmines
    ","91,800,000",Film & Animation,"26,402,207,071","7,143",2012,18
"
Sun TV
    ","25,300,000",People & Blogs,"24,997,373,612","72,109",2016,19
"
T-Series Bollywood Classics
    ","37,400,000",Music,"24,080,969,993","2,029",2012,20
"
etvteluguindia
    ","19,900,000",Entertainment,"24,016,380,361","131,526",2010,21
"
Shemaroo
    ","49,900,000",Entertainment,"23,411,312,182","11,321",2007,22
"
Shorts Break
    ","32,900,000",Comedy,"22,293,994,787",521,2021,23
"
T-Series Apna Punjab
    ","35,300,000",Music,"22,157,277,590","7,955",2011,24
"
Dushyant kukreja
    ","34,200,000",Entertainment,"20,785,194,186",993,2015,25
"
ZEE5
    ","14,700,000",Entertainment,"19,085,027,209","107,239",2018,26
"
Zee News
    ","32,900,000",News & Politics,"18,975,252,307","195,136",2007,27
"
infobells - Tamil
    ","30,100,000",Education,"18,673,360,205",590,2014,28
"
Mazhavil Manorama
    ","16,700,000",Entertainment,"18,087,724,401","95,095",2011,29
"
Goldmines Gaane Sune Ansune
    ","39,800,000",Music,"17,636,837,692","3,632",2015,30
"
IndiaTV
    ","37,300,000",News & Politics,"17,491,982,328","286,823",2006,31
"
WowKidz
    ","33,600,000",Film & Animation,"17,405,941,367","5,253",2015,32
"
Worldwide Records Bhojpuri
    ","32,700,000",Music,"17,007,109,057","6,736",2012,33
"
Jkk Entertainment
    ","37,400,000",Comedy,"16,598,743,533",226,2017,34
"
Tarang TV
    ","8,210,000",Entertainment,"16,539,997,949","53,574",2012,35
